race_date,race_id,race_no,horse_id,horse_name,jockey,trainer,course,target_finish_position,target_won,distance,f_horse_age,f_declared_weight,f_horse_weight,f_weight_change_pct,f_current_rating,f_rating_change,f_days_since_last_run,f_gallop_count_7d,f_gallop_count_14d,f_gallop_count_28d,f_gallop_last_time_sec,f_swim_count_14d,f_trot_count_14d,f_intensity_score_14d,f_has_partner_gallop,f_gallop_jockey_match_flag,f_vet_days_since_injury,f_vet_recovery_days,f_vet_tendon_issue,f_vet_recent_90d_flag,f_incident_last_days,f_incident_slow_out_flag,f_incident_blocked_flag,f_exp_distance_delta,f_exp_gear_first_time,f_exp_gear_removed,f_exp_rating_drop,f_career_total_runs,f_career_win_rate,f_career_top3_rate,f_career_avg_rank_last3,f_career_avg_margin_last3,f_course_cd_win_rate,f_best_time_sec,f_pace_style_code,f_import_ISG,f_import_PP,f_horse_weight_z,f_current_rating_z,f_intensity_score_14d_z,f_career_avg_rank_last3_z,f_draw_pct,f_rating_change_pct,f_best_time_sec_pct,fold
15/07/2026,858,1,HK_2024_K390,摘星聲升,金誠剛,鄭俊偉,跑馬地,10,0,1650,3,135.0,1136.0,0.0246478873239436,40,-3,45,1,2,3,23.5,3,11,14.5,1,1,306,136,1,0,45,1,0,450,1,1,0,6,0.0,0.0,12.0,8.916666666666666,0.0,999.0,3,0,0,0.8409371383611238,1.0660035817780522,-0.873329361826725,2.1713674848753444,0.8181818181818182,0.0,1.0,2
15/07/2026,858,1,HK_2023_J080,川河型駒,莫雷拉,游達榮,跑馬地,1,1,1650,6,133.0,1095.0,0.0127853881278538,38,-2,18,1,1,2,26.7,14,11,22.5,0,0,70,15,0,1,18,0,0,0,0,1,-18,38,0.0789473684210526,0.1578947368421052,9.0,10.416666666666666,0.0,98.42,1,0,1,-0.0017127029294508,0.6396021490668313,0.1491050129948068,0.903758358569738,0.0909090909090909,0.0909090909090909,0.0,2
15/07/2026,858,1,HK_2021_G292,多利神駒,巴度,蘇偉賢,跑馬地,11,0,1650,8,133.0,1041.0,0.0038424591738712,38,-2,35,1,2,4,25.5,14,15,27.5,0,1,1274,-1,0,0,35,0,1,0,0,1,0,49,0.0612244897959183,0.2448979591836734,7.0,4.25,0.0,99.52,3,0,1,-1.111544201214598,0.6396021490668313,0.7881264972582643,0.0586856076993334,0.2727272727272727,0.1818181818181818,0.5454545454545454,2
15/07/2026,858,1,HK_2021_G095,駟跑得,霍宏聲,廖康銘,跑馬地,7,0,1650,8,133.0,1188.0,0.0084175084175084,38,0,42,2,3,5,25.1,14,14,30.0,0,0,1773,-1,0,0,42,0,0,0,0,0,0,64,0.0625,0.234375,4.666666666666667,2.65,0.064516129032258,99.19,3,0,1,1.9096637663394136,0.6396021490668313,1.1076372393899931,-0.9272326016494716,1.0,0.9090909090909092,0.3636363636363636,2
15/07/2026,858,1,HK_2021_G277,極速滿貫,艾兆禮,黎昭昇,跑馬地,9,0,1650,7,133.0,1049.0,0.0019065776930409,38,-2,35,2,3,4,27.5,14,12,29.0,0,0,518,13,0,0,35,0,0,0,0,0,0,57,0.1228070175438596,0.1929824561403508,9.333333333333334,8.25,0.1627906976744186,99.45,2,0,0,-0.9471247199871689,0.6396021490668313,0.9798329425373016,1.0446038170481389,0.4545454545454545,0.2727272727272727,0.4545454545454545,2
15/07/2026,858,1,HK_2021_G312,架勢奇爸,布文,告東尼,跑馬地,5,0,1650,8,127.0,1160.0,0.0094827586206896,32,-2,49,2,4,6,25.5,14,15,33.5,0,0,1375,-1,0,0,49,0,0,-550,0,0,0,48,0.0208333333333333,0.2291666666666666,5.0,5.25,0.0,99.83,2,0,1,1.3341955820434117,-0.6396021490668313,1.5549522783744132,-0.7863871431710711,0.0,0.3636363636363636,0.7272727272727273,2
15/07/2026,858,1,HK_2024_K073,幸運福星,梁家俊,巫偉傑,跑馬地,3,0,1650,4,126.0,1091.0,-0.0091659028414298,31,-2,14,1,1,3,26.9,0,7,6.5,0,0,217,19,0,0,14,0,0,0,0,0,0,21,0.0476190476190476,0.1428571428571428,6.666666666666667,4.083333333333333,0.1666666666666666,99.71,1,0,0,-0.0839224435431654,-0.8528028654224417,-1.895763736648257,-0.0821598507790671,0.5454545454545454,0.4545454545454545,0.6363636363636364,2
15/07/2026,858,1,HK_2023_J003,勁爽,楊明綸,丁冠豪,跑馬地,4,0,1650,5,118.0,1133.0,-0.0017652250661959,23,0,14,1,1,2,27.2,10,11,18.5,0,1,881,106,0,0,14,0,0,0,0,0,0,21,0.0,0.1428571428571428,3.333333333333333,1.4,0.0,99.14,2,0,0,0.7792798329008379,-2.5584085962673253,-0.362112174415959,-1.4906144355630746,0.9090909090909092,1.0,0.2727272727272727,2
15/07/2026,859,2,HK_2023_J116,紅錢到,霍宏聲,呂健威,跑馬地,4,0,1200,5,131.0,1188.0,0.0202020202020202,55,0,35,1,3,5,25.2,14,14,30.0,0,0,769,6,0,0,35,1,0,0,0,0,0,16,0.0625,0.4375,4.333333333333333,2.2666666666666666,0.1111111111111111,69.29,2,0,0,1.0072504919685363,1.298757476016143,1.3220752491570975,-1.0111518912420634,0.6363636363636364,0.6363636363636364,0.3636363636363636,1
15/07/2026,859,2,HK_2024_K441,友聲友色,鍾易禮 (-2),蘇偉賢,跑馬地,12,0,1200,4,126.0,1094.0,0.0100548446069469,50,-2,178,1,1,3,24.7,13,14,25.5,0,0,159,132,0,0,157,0,0,0,0,0,0,3,0.0,0.0,13.5,11.25,0.0,70.57,3,0,0,-0.7652589541164985,0.2867386635360312,0.4967334751168285,1.6476538785577843,0.7272727272727273,0.0,0.9090909090909092,1
